ID,User,date,review,rating,type
11,chauquengoc.momo,2022-08-10 23:58 | Phân loại hàng: XXL,"Chất liệu: vẢiMàu sắc: đúng như hìnhĐúng với mô tả: đúng òi áMua size lớn nhất rùi nhưng 70kg tui k bận vừa nên pass lại cho nhỏ ròm 42kg bận bóp eo xíu 😂😂, nhưng quần đẹp nha mn, vải dày đẹp lắm, ai mập như tui cân nhắc nhén, ốm bận đẹp gê, tiếc gê 🥲.",,normal
2,chichichiiiiii,"2024-07-30 08:55 | Phân loại hàng: Áo Trễ Vai Đen,XL","Màu sắc: xanhĐúng với mô tả: đúngChất liệu: tốtQuần jean co giãn tốt, màu đẹp, giá rẻ hơn ngoài, shop tư vấn chu đáo, ship thân thiện.",,bot
2,chichichiiiiii,"2024-08-02 09:29 | Phân loại hàng: Áo Trễ Vai Đen,XL",Màu sắc: đenChất liệu: tốtĐúng với mô tả: tốtLúc đầu mình không kỳ vọng nhiều vì mua online. Nhưng khi nhận rất ok nha chất vải và mẫu đẹp so với giá tiền. Ship giao hành nhanh và thân thiện.,,bot
2,chichichiiiiii,"2024-08-02 09:44 | Phân loại hàng: Áo Trễ Vai Đen,XL","Đã mua nhiều lần và vẫn hài lòng như ngày đầu tiên. Sản phẩm chất lượng, giá cả phải chăng nhé mọi người",,bot
2,chichichiiiiii,"2024-08-08 15:35 | Phân loại hàng: Full set Áo + Quần,XL","Hàng rất đẹp, mình mua cả áo lẫn quần nên được giá rẻ so với chất lượng, quần lên form đẹp, siêu xinh ak, chuẩn như ảnh nhé, sẽ tiếp tục ủng hộ shop 💗",,bot
8,chichichiiiiii,"2024-08-02 09:43 | Phân loại hàng: Quà tặng,M","Chất liệu: tốtMàu sắc: đẹpĐúng với mô tả: tốtĐã mua nhiều lần và vẫn hài lòng như ngày đầu tiên. Sản phẩm chất lượng, giá cả phải chăng nhé mọi người",,bot
9,chichichiiiiii,"2024-08-08 15:29 | Phân loại hàng: Áo Da Đen 03,XL","Đúng với mô tả: tốtChất liệu: tốtMàu sắc: tốtGiao hàng nhanh, đúng màu đúng size mình đặt mặc lên bao ngầu, mê lắm ủng hộ shop dài nếu có thêm nhiều mẫu áo váy đẹp như vầy nhen",,bot
9,chichichiiiiii,"2024-08-08 15:34 | Phân loại hàng: Áo Da Đen 03,M","Hàng rất đẹp, mình mua cả áo lẫn chân váy nên được giá rẻ so với chất lượng, quần lên form đẹp, siêu cute, chuẩn như ảnh nhé, sẽ tiếp tục ủng hộ shop 💗",,bot
11,chouvu760,2023-06-25 12:33 | Phân loại hàng: Xanh Rêu - S,"( ảnh minh hoạ ) quần đúng màu, chất lượng vải tương đối tốt. Còn ủng hộ shop nhiều sản phầm nữa ạ",,normal
11,chowwwwww,2022-08-25 10:51 | Phân loại hàng: M,Cách phục vụ của shop rất chi là ok ạ Quần đẹp lắm nha,,normal
20,chucchi3005,"2019-12-27 17:43 | Phân loại hàng: Đen,S",Quần êm lắm luônnn,,normal
13,co_po,"2024-01-21 01:15 | Phân loại hàng: 3,S",Giao hàng nhanh. Đóng gói cẩn thận. Vải dày dặn. Đẹp. Sẽ ủng hộ. Cảm ơn.,,normal
5,congnguyen111168,"2024-06-26 18:54 | Phân loại hàng: XANH,S",Nên mua nha mọi người ưi Hàng oki la đóng gói cũng oki nữa nè ahihi,,normal
16,cotugrocery91,"2024-04-01 14:16 | Phân loại hàng: Full Set,M",,,normal
16,cuctran434,"2024-04-27 00:28 | Phân loại hàng: Full Set,S",,,normal
4,d*****1,"2023-12-02 20:10 | Phân loại hàng: Xám Đen,L",,,normal
16,d*****2,"2024-04-15 22:02 | Phân loại hàng: Quần Ribbon Xám,S",,,normal
11,d*****3,2022-09-10 00:27 | Phân loại hàng: L,,,normal
13,d*****7,"2023-01-01 09:53 | Phân loại hàng: 2,S",,,normal
10,d*****9,"2023-05-27 21:18 | Phân loại hàng: Chun buộc tóc,S",,,normal
17,d*****9,"2022-12-21 06:27 | Phân loại hàng: Đen,M",,,normal
20,d*****l,"2021-05-29 23:30 | Phân loại hàng: Đen,S","Rất thất vọng! Lúc mình mua trực tiếp ở shop thì được quần ngon ơ luôn, nên về đặt thêm cái nữa cho chị mình mà ai dè nó 1 trời 1 vực.Chất vải rũ, mỏng và bóng, form quần cũng không đẹp, đặc biệt là lưng CHUN mặc lên cứ bị dúng nhìn kì lắm, nên cân nhắc khi mua,với giá này, chất này theo mình là mắc",,normal
17,d*****n,"2023-01-06 15:55 | Phân loại hàng: Đen,M",,,normal
17,d*****u,"2022-12-14 20:18 | Phân loại hàng: Đỏ,M",,,normal
10,d4clj69bjh,"2023-06-15 17:14 | Phân loại hàng: QUẦN JEAN NHÚNG,M","Chất liệu: jeanMàu sắc: xanhĐúng với mô tả: đúngquần form đẹp, rộng đủ, 1m6-53kg rất vừa in đẹp tuyệt vời đáng tiền",,normal
11,daibac8666,2023-07-07 15:39 | Phân loại hàng: Xanh Rêu - XL,"Đúng với mô tả: đúngChất liệu: kakiMàu sắc: xanh rêuxinh xỉu luôn mọi người ơi, vải dày dặn chắc chắn, lên form siêu đỉnh, sốp tư vấn nhiệt tình rep nhanh, ship nhanh nhanh nhanh, mặc lên đỉnh y hình lun nha. Ủng hộ sốp dài dài",,normal
